artistName_title,wikiData_id,student,studentOf,,,,,,,
国晴,Q55129800,,,,,,,,,
歌川貞綱,Q30929661,,,,,,,,,
歌川国利,Q2502854,,,,,,,,,
歌川国明 (2代目),,,,,,,,,,
歌川芳藤,Q11545194,,['Q317736'],,,,,,,
春川あし広,Q24864620,,,,,,,,,
歌川安秀,Q29410868,,,,,,,,,
水野年方,Q3532621,"['Q1241113', 'Q11552146', 'Q11552123', 'Q11439769', 'Q11618350', 'Q11549447']","['Q467337', 'Q3566605', 'Q22128705']",,,,,,,
林基春,Q11532913,,,,,,,,,
楊斎延一,Q11541091,,,,,,,,,
鳥居清満,Q3136173,,,,,,,,,
歌川国員,Q50642004,,,,,,,,,
歌川国丸,Q11545114,,,,,,,,,
歌川国富,Q11545124,,,,,,,,,
玉波 (浮世絵師),Q2463805,,,,,,,,,
堀田行長,Q11427666,,,,,,,,,
鳥居清経,Q11674944,,,,,,,,,
有楽斎長秀,Q3075013,,,,,,,,,
歌川房種,Q11545163,,,,,,,,,
笹木芳光,Q18818446,,,,,,,,,
長谷川貞信 (3代目),,,,,,,,,,
菊水茂広,Q62085175,,,,,,,,,
周幸,Q11416902,,,,,,,,,
喜多川月麿,Q11419131,,,,,,,,,
春蝶,Q29410880,,,,,,,,,
歌川芳形,Q11545181,,,,,,,,,
安達吟光,Q11451516,,,,,,,,,
豊原国周,Q2738241,"['Q11545147', 'Q177837']",,,,,,,,
歌川貞勝,Q55129804,,,,,,,,,
春好斎北洲,Q3074677,['Q3075049'],,,,,,,,
歌川国輝,Q3552728,,['Q467427'],,,,,,,
歌川国一,Q30928980,,,,,,,,,
司馬江漢,Q652953,,"['Q3511675', 'Q3791358']",,,,,,,
北尾政美,Q3197564,,,,,,,,,
歌川豊宣,Q11545204,,,,,,,,,
歌川芳虎,Q3075041,['Q40003145'],"['Q317736', 'Q177837']",,,,,,,
歌川豊国 (2代目),Q3074993,['Q30928983'],['Q950316'],,,,,,,
歌川貞房,Q11545215,,,,,,,,,
鳥居清倍,Q3136190,,,,,,,,,
